id_orders,id_store,id_suppliers
1,ST001,1
2,ST101,2
3,ST002,3
4,ST102,4
5,ST003,5
6,ST103,6
7,ST004,7
8,ST104,8
9,ST005,9
10,ST105,10
11,ST006,11
12,ST106,12
13,ST007,13
14,ST107,14
15,ST008,15
16,ST108,16
17,ST009,17
18,ST109,18
19,ST010,19
20,ST110,20
21,ST011,1
22,ST111,2
23,ST012,3
24,ST112,4
25,ST013,5
26,ST113,6
27,ST014,7
28,ST114,8
29,ST015,9
30,ST115,10
31,ST016,11
32,ST116,12
33,ST017,13
34,ST117,14
35,ST018,15
36,ST118,16
37,ST019,17
38,ST119,18
39,ST020,19
40,ST120,20
41,ST001,1
42,ST101,2
43,ST002,3
44,ST102,4
45,ST003,5
46,ST103,6
47,ST004,7
48,ST104,8
49,ST005,9
50,ST105,10
51,ST006,11
52,ST106,12
53,ST007,13
54,ST107,14
55,ST008,15
56,ST108,16
57,ST009,17
58,ST109,18
59,ST010,19
60,ST110,20
61,ST011,1
62,ST111,2
63,ST012,3
64,ST112,4
65,ST013,5
66,ST113,6
67,ST014,7
68,ST114,8
69,ST015,9
70,ST115,10
71,ST016,11
72,ST116,12
73,ST017,13
74,ST117,14
75,ST018,15
76,ST118,16
77,ST019,17
78,ST119,18
79,ST020,19
80,ST120,20
81,ST001,1
82,ST101,2
83,ST002,3
84,ST102,4
85,ST003,5
86,ST103,6
87,ST004,7
88,ST104,8
89,ST005,9
90,ST105,10
91,ST006,11
92,ST106,12
93,ST007,13
94,ST107,14
95,ST008,15
96,ST108,16
97,ST009,17
98,ST109,18
99,ST010,19
100,ST110,20
101,ST011,1
102,ST111,2
103,ST012,3
104,ST112,4
105,ST013,5
106,ST113,6
107,ST014,7
108,ST114,8
109,ST015,9
110,ST115,10
111,ST016,11
112,ST116,12
113,ST017,13
114,ST117,14
115,ST018,15
116,ST118,16
117,ST019,17
118,ST119,18
119,ST020,19
120,ST120,20
121,ST001,1
122,ST101,2
123,ST002,3
124,ST102,4
125,ST003,5
126,ST103,6
127,ST004,7
128,ST104,8
129,ST005,9
130,ST105,10
131,ST006,11
132,ST106,12
133,ST007,13
134,ST107,14
135,ST008,15
136,ST108,16
137,ST009,17
138,ST109,18
139,ST010,19
140,ST110,20
141,ST011,1
142,ST111,2
143,ST012,3
144,ST112,4
145,ST013,5
146,ST113,6
147,ST014,7
148,ST114,8
149,ST015,9
150,ST115,10
151,ST016,11
152,ST116,12
153,ST017,13
154,ST117,14
155,ST018,15
156,ST118,16
157,ST019,17
158,ST119,18
159,ST020,19
160,ST120,20
161,ST001,1
162,ST101,2
163,ST002,3
164,ST102,4
165,ST003,5
166,ST103,6
167,ST004,7
168,ST104,8
169,ST005,9
170,ST105,10
171,ST006,11
172,ST106,12
173,ST007,13
174,ST107,14
175,ST008,15
176,ST108,16
177,ST009,17
178,ST109,18
179,ST010,19
180,ST110,20
181,ST011,1
182,ST111,2
183,ST012,3
184,ST112,4
185,ST013,5
186,ST113,6
187,ST014,7
188,ST114,8
189,ST015,9
190,ST115,10
191,ST016,11
192,ST116,12
193,ST017,13
194,ST117,14
195,ST018,15
196,ST118,16
197,ST019,17
198,ST119,18
199,ST020,19
200,ST120,20
201,ST001,1
202,ST101,2
203,ST002,3
204,ST102,4
205,ST003,5
206,ST103,6
207,ST004,7
208,ST104,8
209,ST005,9
210,ST105,10
211,ST006,11
212,ST106,12
213,ST007,13
214,ST107,14
215,ST008,15
216,ST108,16
217,ST009,17
218,ST109,18
219,ST010,19
220,ST110,20
221,ST011,1
222,ST111,2
223,ST012,3
224,ST112,4
225,ST013,5
226,ST113,6
227,ST014,7
228,ST114,8
229,ST015,9
230,ST115,10
231,ST016,11
232,ST116,12
233,ST017,13
234,ST117,14
235,ST018,15
236,ST118,16
237,ST019,17
238,ST119,18
239,ST020,19
240,ST120,20
241,ST001,1
242,ST101,2
243,ST002,3
244,ST102,4
245,ST003,5
246,ST103,6
247,ST004,7
248,ST104,8
249,ST005,9
250,ST105,10
251,ST006,11
252,ST106,12
253,ST007,13
254,ST107,14
255,ST008,15
256,ST108,16
257,ST009,17
258,ST109,18
259,ST010,19
260,ST110,20
261,ST011,1
262,ST111,2
263,ST012,3
