id_returns,id_orders,id_dim_date_returned,reason
1,20,20251122,Product Defect
2,23,20251122,Late Delivery
3,24,20251122,Damaged
4,43,20251122,Leaking Bottle
5,50,20251122,Damaged
6,59,20251122,Wrong Item
7,62,20251122,Damaged
8,84,20251122,Late Delivery
9,87,20251122,Customer Refused
10,90,20251122,Late Delivery
11,92,20251122,Broken Seal
12,98,20251122,Damaged
13,106,20251122,Product Defect
14,116,20251123,Damaged
15,120,20251122,Wrong Item
16,121,20251122,Product Defect
17,127,20251122,Not As Described
18,128,20251122,Not As Described
19,148,20251122,Not As Described
20,150,20251123,Late Delivery
21,154,20251122,Damaged
22,155,20251122,Leaking Bottle
23,168,20251122,Damaged
24,171,20251122,Product Defect
25,175,20251122,Broken Seal
26,181,20251122,Late Delivery
27,183,20251122,Wrong Item
28,191,20251122,Not As Described
29,194,20251122,Customer Refused
30,202,20251122,Damaged
31,223,20251122,Damaged
32,225,20251122,Product Defect
33,234,20251122,Not As Described
34,240,20251122,Wrong Item
35,242,20251122,Damaged
36,248,20251122,Damaged
37,252,20251122,Late Delivery
38,262,20251123,Not As Described
39,279,20251122,Customer Refused
40,285,20251123,Damaged
41,293,20251122,Damaged
42,315,20251122,Product Defect
43,319,20251122,Damaged
44,331,20251122,Not As Described
45,337,20251122,Wrong Item
46,346,20251122,Leaking Bottle
47,356,20251122,Not As Described
48,361,20251122,Not As Described
49,371,20251122,Leaking Bottle
50,372,20251122,Broken Seal
51,375,20251122,Damaged
52,378,20251122,Damaged
53,380,20251122,Customer Refused
54,381,20251122,Damaged
55,382,20251122,Product Defect
56,389,20251122,Broken Seal
57,390,20251122,Customer Refused
58,401,20251122,Customer Refused
59,408,20251122,Late Delivery
60,429,20251123,Not As Described
61,449,20251122,Product Defect
62,451,20251122,Wrong Item
63,470,20251123,Wrong Item
64,473,20251122,Product Defect
65,480,20251122,Not As Described
66,483,20251122,Customer Refused
67,485,20251122,Leaking Bottle
68,491,20251122,Broken Seal
69,495,20251122,Leaking Bottle
70,499,20251122,Damaged
71,505,20251122,Damaged
72,524,20251122,Product Defect
73,529,20251122,Not As Described
74,534,20251122,Wrong Item
75,535,20251122,Damaged
76,542,20251122,Not As Described
77,547,20251122,Damaged
78,549,20251122,Not As Described
79,559,20251122,Product Defect
80,566,20251123,Product Defect
81,567,20251122,Damaged
82,574,20251122,Product Defect
83,585,20251122,Not As Described
84,594,20251122,Wrong Item
85,604,20251122,Damaged
86,633,20251122,Not As Described
87,634,20251122,Late Delivery
88,635,20251122,Late Delivery
89,643,20251123,Damaged
90,651,20251122,Broken Seal
91,663,20251122,Leaking Bottle
92,670,20251122,Late Delivery
93,676,20251122,Not As Described
94,683,20251122,Damaged
95,718,20251122,Late Delivery
96,728,20251123,Wrong Item
97,736,20251122,Customer Refused
98,743,20251122,Wrong Item
99,746,20251122,Customer Refused
100,752,20251122,Damaged
101,754,20251122,Damaged
102,764,20251122,Damaged
103,766,20251122,Not As Described
104,781,20251122,Damaged
105,791,20251122,Product Defect
106,811,20251122,Late Delivery
107,816,20251122,Wrong Item
108,830,20251122,Damaged
109,848,20251122,Not As Described
110,849,20251122,Damaged
111,858,20251122,Broken Seal
112,865,20251122,Not As Described
113,873,20251122,Late Delivery
114,874,20251123,Customer Refused
115,879,20251122,Damaged
116,883,20251122,Not As Described
117,895,20251122,Not As Described
118,900,20251122,Leaking Bottle
119,904,20251122,Product Defect
120,905,20251123,Damaged
121,911,20251122,Product Defect
122,917,20251122,Product Defect
123,928,20251122,Broken Seal
124,933,20251122,Wrong Item
125,943,20251123,Damaged
126,944,20251122,Leaking Bottle
127,947,20251122,Late Delivery
128,948,20251122,Customer Refused
129,950,20251122,Not As Described
130,964,20251122,Damaged
131,965,20251122,Product Defect
132,967,20251122,Damaged
133,971,20251122,Wrong Item
134,980,20251122,Broken Seal
135,983,20251122,Wrong Item
136,986,20251122,Not As Described
137,987,20251122,Wrong Item
138,1009,20251123,Leaking Bottle
139,1011,20251122,Wrong Item
140,1017,20251122,Damaged
141,1018,20251124,Not As Described
142,1020,20251123,Product Defect
143,1028,20251122,Wrong Item
144,1032,20251123,Broken Seal
145,1033,20251122,Damaged
146,1048,20251122,Customer Refused
147,1054,20251122,Not As Described
148,1059,20251122,Product Defect
149,1064,20251122,Late Delivery
150,1080,20251122,Not As Described
151,1085,20251122,Product Defect
152,1107,20251122,Product Defect
153,1111,20251122,Not As Described
154,1117,20251122,Damaged
155,1119,20251122,Damaged
156,1139,20251122,Broken Seal
157,1140,20251122,Not As Described
158,1141,20251122,Product Defect
159,1150,20251122,Product Defect
160,1163,20251122,Wrong Item
161,1164,20251122,Damaged
162,1171,20251122,Damaged
163,1183,20251122,Broken Seal
164,1184,20251122,Damaged
165,1189,20251122,Damaged
166,1202,20251123,Not As Described
167,1212,20251122,Damaged
168,1215,20251122,Product Defect
169,1217,20251122,Damaged
170,1221,20251122,Not As Described
171,1229,20251122,Not As Described
172,1232,20251122,Not As Described
173,1234,20251122,Wrong Item
174,1237,20251122,Damaged
175,1241,20251122,Not As Described
176,1244,20251122,Product Defect
177,1250,20251122,Customer Refused
178,1254,20251123,Damaged
179,1255,20251122,Damaged
180,1267,20251122,Wrong Item
181,1268,20251122,Customer Refused
182,1272,20251122,Damaged
183,1280,20251122,Wrong Item
184,1284,20251122,Leaking Bottle
185,1287,20251122,Broken Seal
186,1289,20251122,Wrong Item
187,1297,20251123,Product Defect
188,1300,20251123,Not As Described
189,1304,20251122,Damaged
190,1306,20251122,Late Delivery
191,1309,20251122,Late Delivery
192,1313,20251122,Customer Refused
193,1315,20251122,Product Defect
194,1321,20251122,Wrong Item
195,1324,20251122,Damaged
196,1326,20251123,Broken Seal
197,1347,20251122,Leaking Bottle
198,1361,20251123,Broken Seal
199,1369,20251122,Customer Refused
200,1374,20251122,Wrong Item
201,1375,20251122,Damaged
202,1404,20251122,Leaking Bottle
203,1407,20251122,Not As Described
204,1408,20251122,Late Delivery
205,1410,20251122,Wrong Item
206,1413,20251122,Broken Seal
207,1418,20251122,Late Delivery
208,1429,20251122,Leaking Bottle
209,1433,20251122,Broken Seal
210,1461,20251122,Product Defect
211,1470,20251123,Wrong Item
212,1471,20251122,Not As Described
213,1482,20251122,Not As Described
214,1486,20251123,Damaged
215,1488,20251122,Damaged
216,1508,20251122,Damaged
217,1510,20251122,Damaged
218,1512,20251122,Product Defect
219,1520,20251122,Not As Described
220,1525,20251122,Late Delivery
221,1531,20251122,Damaged
222,1532,20251122,Wrong Item
223,1534,20251122,Not As Described
224,1546,20251122,Product Defect
225,1547,20251122,Customer Refused
226,1561,20251122,Not As Described
227,1563,20251122,Customer Refused
228,1565,20251122,Wrong Item
229,1574,20251122,Product Defect
230,1577,20251122,Wrong Item
231,1583,20251122,Not As Described
232,1586,20251122,Damaged
233,1594,20251122,Broken Seal
234,1595,20251122,Damaged
235,1601,20251123,Damaged
236,1602,20251122,Damaged
237,1606,20251122,Not As Described
238,1619,20251122,Wrong Item
239,1638,20251122,Broken Seal
240,1650,20251122,Damaged
241,1672,20251122,Damaged
242,1677,20251122,Wrong Item
243,1683,20251122,Late Delivery
244,1693,20251122,Not As Described
245,1694,20251122,Late Delivery
246,1695,20251122,Product Defect
247,1699,20251123,Customer Refused
248,1705,20251122,Damaged
249,1709,20251122,Damaged
250,1710,20251122,Not As Described
251,1711,20251122,Product Defect
252,1719,20251122,Not As Described
253,1746,20251122,Not As Described
254,1747,20251122,Damaged
255,1748,20251123,Leaking Bottle
256,1760,20251122,Wrong Item
257,1761,20251122,Broken Seal
258,1770,20251122,Damaged
259,1782,20251123,Late Delivery
260,1794,20251122,Damaged
261,1795,20251122,Wrong Item
262,1799,20251122,Late Delivery
263,1801,20251122,Product Defect
264,1802,20251122,Wrong Item
265,1805,20251122,Customer Refused
266,1817,20251122,Leaking Bottle
267,1821,20251122,Damaged
268,1825,20251122,Damaged
269,1828,20251122,Broken Seal
270,1830,20251122,Damaged
271,1831,20251122,Damaged
272,1835,20251123,Damaged
273,1856,20251122,Not As Described
274,1858,20251122,Leaking Bottle
275,1865,20251122,Damaged
276,1882,20251122,Damaged
277,1893,20251122,Damaged
278,1896,20251122,Damaged
279,1900,20251122,Customer Refused
280,1902,20251122,Wrong Item
281,1904,20251122,Product Defect
282,1906,20251122,Broken Seal
283,1910,20251122,Wrong Item
284,1913,20251122,Late Delivery
285,1933,20251122,Damaged
286,1940,20251122,Late Delivery
287,1942,20251122,Leaking Bottle
288,1946,20251122,Broken Seal
289,1947,20251122,Damaged
290,1948,20251122,Leaking Bottle
291,1952,20251124,Customer Refused
292,1953,20251122,Not As Described
293,1960,20251122,Wrong Item
294,1967,20251122,Product Defect
295,1985,20251122,Damaged
296,1997,20251124,Late Delivery
297,2010,20251122,Leaking Bottle
298,2016,20251122,Damaged
299,2021,20251122,Wrong Item
300,2022,20251122,Broken Seal
301,2031,20251122,Customer Refused
302,2041,20251122,Leaking Bottle
303,2042,20251122,Leaking Bottle
304,2053,20251122,Late Delivery
305,2054,20251122,Product Defect
306,2062,20251122,Damaged
307,2068,20251122,Damaged
308,2071,20251123,Product Defect
309,2086,20251122,Product Defect
310,2093,20251122,Not As Described
311,2100,20251123,Leaking Bottle
312,2104,20251122,Wrong Item
313,2115,20251122,Broken Seal
314,2117,20251122,Wrong Item
315,2124,20251123,Late Delivery
316,2125,20251122,Not As Described
317,2127,20251122,Wrong Item
318,2129,20251123,Customer Refused
319,2134,20251122,Late Delivery
320,2136,20251122,Wrong Item
321,2147,20251122,Not As Described
322,2155,20251122,Not As Described
323,2156,20251122,Product Defect
324,2158,20251122,Wrong Item
325,2159,20251122,Product Defect
326,2172,20251122,Not As Described
327,2176,20251122,Broken Seal
328,2187,20251122,Wrong Item
329,2194,20251122,Product Defect
330,2195,20251122,Wrong Item
331,2198,20251122,Wrong Item
332,2200,20251122,Not As Described
333,2215,20251122,Wrong Item
334,2231,20251122,Not As Described
335,2235,20251122,Broken Seal
336,2238,20251122,Damaged
337,2241,20251122,Damaged
338,2244,20251123,Customer Refused
339,2245,20251122,Leaking Bottle
340,2256,20251122,Product Defect
341,2260,20251122,Broken Seal
342,2261,20251123,Damaged
343,2262,20251122,Wrong Item
344,2263,20251122,Wrong Item
345,2273,20251122,Damaged
346,2277,20251122,Leaking Bottle
347,2282,20251122,Leaking Bottle
348,2284,20251123,Not As Described
349,2286,20251122,Wrong Item
350,2291,20251122,Late Delivery
351,2296,20251122,Customer Refused
352,2298,20251122,Product Defect
353,2306,20251122,Late Delivery
354,2331,20251122,Product Defect
355,2340,20251122,Customer Refused
356,2341,20251122,Damaged
357,2346,20251122,Wrong Item
358,2353,20251122,Leaking Bottle
359,2356,20251122,Damaged
360,2357,20251122,Damaged
361,2369,20251122,Product Defect
362,2373,20251122,Wrong Item
363,2374,20251123,Late Delivery
364,2380,20251122,Damaged
365,2382,20251122,Wrong Item
366,2389,20251122,Damaged
367,2392,20251122,Late Delivery
368,2393,20251122,Not As Described
369,2395,20251123,Not As Described
370,2424,20251122,Broken Seal
371,2425,20251122,Not As Described
372,2429,20251122,Not As Described
373,2433,20251123,Late Delivery
374,2442,20251122,Damaged
375,2443,20251122,Damaged
376,2454,20251122,Wrong Item
377,2456,20251122,Customer Refused
378,2459,20251122,Not As Described
379,2473,20251123,Not As Described
380,2479,20251122,Late Delivery
381,2495,20251121,Leaking Bottle
382,2497,20251121,Late Delivery
383,2502,20251121,Wrong Item
384,2508,20251122,Wrong Item
385,2514,20251121,Damaged
386,2530,20251121,Damaged
387,2548,20251121,Damaged
388,2554,20251121,Product Defect
389,2557,20251121,Broken Seal
390,2559,20251121,Customer Refused
391,2560,20251121,Damaged
392,2588,20251121,Damaged
393,2593,20251121,Wrong Item
394,2600,20251121,Product Defect
395,2604,20251121,Not As Described
396,2607,20251121,Damaged
397,2609,20251121,Customer Refused
398,2613,20251122,Product Defect
399,2620,20251121,Damaged
400,2624,20251121,Wrong Item
401,2640,20251121,Customer Refused
402,2642,20251121,Broken Seal
403,2644,20251121,Damaged
404,2646,20251121,Customer Refused
405,2647,20251121,Late Delivery
406,2650,20251121,Product Defect
407,2660,20251121,Late Delivery
408,2664,20251121,Wrong Item
409,2666,20251121,Wrong Item
410,2687,20251121,Not As Described
411,2689,20251122,Damaged
412,2694,20251121,Product Defect
413,2695,20251121,Broken Seal
414,2701,20251121,Broken Seal
415,2715,20251121,Damaged
416,2717,20251121,Not As Described
417,2721,20251121,Wrong Item
418,2733,20251121,Leaking Bottle
419,2735,20251121,Product Defect
420,2742,20251121,Product Defect
421,2744,20251121,Leaking Bottle
422,2745,20251121,Damaged
423,2747,20251121,Not As Described
424,2748,20251121,Wrong Item
425,2761,20251121,Leaking Bottle
426,2767,20251121,Not As Described
427,2774,20251121,Late Delivery
428,2782,20251121,Wrong Item
429,2786,20251121,Not As Described
430,2802,20251121,Not As Described
431,2803,20251121,Not As Described
432,2807,20251121,Damaged
433,2809,20251121,Damaged
434,2832,20251121,Not As Described
435,2834,20251121,Not As Described
436,2839,20251121,Product Defect
437,2848,20251121,Not As Described
438,2855,20251122,Customer Refused
439,2863,20251121,Late Delivery
440,2871,20251121,Product Defect
441,2872,20251121,Damaged
442,2879,20251122,Wrong Item
443,2884,20251121,Product Defect
444,2890,20251121,Leaking Bottle
445,2906,20251121,Wrong Item
446,2908,20251121,Not As Described
447,2910,20251121,Damaged
448,2911,20251121,Wrong Item
449,2918,20251121,Late Delivery
450,2925,20251122,Wrong Item
451,2930,20251121,Not As Described
452,2934,20251121,Wrong Item
453,2935,20251121,Product Defect
454,2937,20251121,Wrong Item
455,2945,20251121,Product Defect
456,2947,20251121,Customer Refused
457,2954,20251121,Product Defect
458,2957,20251121,Product Defect
459,2958,20251121,Broken Seal
460,2966,20251121,Product Defect
461,2967,20251121,Late Delivery
462,2973,20251121,Damaged
463,2975,20251121,Customer Refused
464,2979,20251121,Late Delivery
465,2985,20251121,Broken Seal
466,2992,20251122,Not As Described
467,2993,20251121,Product Defect
468,2996,20251121,Not As Described
469,3016,20251121,Damaged
470,3020,20251121,Damaged
471,3034,20251121,Product Defect
472,3035,20251121,Damaged
473,3044,20251121,Damaged
474,3053,20251121,Damaged
475,3063,20251121,Wrong Item
476,3065,20251121,Customer Refused
477,3069,20251121,Wrong Item
478,3071,20251121,Broken Seal
479,3083,20251121,Product Defect
480,3091,20251121,Not As Described
481,3097,20251121,Late Delivery
482,3099,20251121,Customer Refused
483,3109,20251121,Wrong Item
484,3113,20251121,Damaged
485,3115,20251121,Broken Seal
486,3118,20251121,Not As Described
487,3126,20251121,Product Defect
488,3135,20251121,Product Defect
489,3138,20251121,Wrong Item
490,3140,20251121,Damaged
491,3141,20251121,Wrong Item
492,3142,20251121,Leaking Bottle
493,3147,20251121,Wrong Item
494,3153,20251121,Wrong Item
495,3156,20251121,Leaking Bottle
496,3160,20251122,Customer Refused
497,3164,20251121,Wrong Item
498,3167,20251121,Wrong Item
499,3174,20251121,Broken Seal
500,3175,20251121,Damaged
501,3196,20251121,Leaking Bottle
502,3202,20251121,Damaged
503,3205,20251121,Damaged
504,3208,20251122,Product Defect
505,3219,20251121,Broken Seal
506,3220,20251121,Product Defect
507,3225,20251121,Wrong Item
508,3226,20251121,Broken Seal
509,3229,20251121,Leaking Bottle
510,3236,20251121,Damaged
511,3237,20251121,Damaged
512,3251,20251121,Damaged
513,3252,20251121,Damaged
514,3261,20251121,Damaged
515,3266,20251121,Damaged
516,3274,20251121,Leaking Bottle
517,3277,20251121,Leaking Bottle
518,3280,20251121,Broken Seal
519,3291,20251121,Damaged
520,3292,20251122,Wrong Item
521,3305,20251121,Damaged
522,3315,20251121,Product Defect
523,3328,20251121,Late Delivery
524,3332,20251121,Late Delivery
525,3333,20251121,Product Defect
526,3345,20251121,Not As Described
527,3350,20251121,Damaged
528,3356,20251121,Broken Seal
529,3364,20251121,Wrong Item
530,3368,20251121,Broken Seal
531,3373,20251121,Not As Described
532,3390,20251121,Wrong Item
533,3406,20251121,Not As Described
534,3412,20251121,Not As Described
535,3415,20251121,Damaged
536,3422,20251121,Wrong Item
537,3423,20251121,Wrong Item
538,3432,20251121,Product Defect
539,3446,20251122,Customer Refused
540,3448,20251122,Wrong Item
541,3449,20251121,Customer Refused
542,3457,20251121,Wrong Item
543,3460,20251121,Product Defect
544,3463,20251121,Customer Refused
545,3465,20251121,Not As Described
546,3466,20251121,Wrong Item
547,3472,20251123,Broken Seal
548,3482,20251122,Leaking Bottle
549,3485,20251121,Damaged
550,3488,20251121,Product Defect
551,3491,20251121,Leaking Bottle
552,3493,20251121,Not As Described
553,3495,20251121,Wrong Item
554,3498,20251121,Product Defect
555,3507,20251121,Customer Refused
556,3514,20251121,Product Defect
557,3516,20251121,Damaged
558,3518,20251121,Wrong Item
559,3526,20251123,Broken Seal
560,3535,20251121,Not As Described
561,3543,20251121,Product Defect
562,3549,20251121,Customer Refused
563,3557,20251121,Customer Refused
564,3562,20251121,Wrong Item
565,3567,20251122,Broken Seal
566,3569,20251122,Late Delivery
567,3574,20251121,Damaged
568,3577,20251121,Customer Refused
569,3578,20251121,Wrong Item
570,3582,20251122,Product Defect
571,3592,20251121,Leaking Bottle
572,3601,20251121,Not As Described
573,3604,20251121,Damaged
574,3606,20251121,Damaged
575,3610,20251121,Damaged
576,3615,20251121,Not As Described
577,3616,20251121,Damaged
578,3617,20251121,Damaged
579,3622,20251122,Not As Described
580,3625,20251121,Damaged
581,3630,20251121,Damaged
582,3632,20251121,Wrong Item
583,3636,20251122,Wrong Item
584,3637,20251121,Not As Described
585,3655,20251121,Leaking Bottle
586,3658,20251121,Customer Refused
587,3659,20251121,Damaged
588,3665,20251121,Product Defect
589,3679,20251121,Wrong Item
590,3693,20251121,Product Defect
591,3694,20251122,Damaged
592,3697,20251121,Leaking Bottle
593,3703,20251121,Leaking Bottle
594,3710,20251121,Not As Described
595,3712,20251121,Wrong Item
596,3713,20251121,Product Defect
597,3730,20251121,Damaged
598,3731,20251121,Leaking Bottle
599,3732,20251121,Leaking Bottle
600,3736,20251122,Wrong Item
601,3741,20251121,Late Delivery
602,3746,20251121,Damaged
603,3768,20251121,Damaged
604,3770,20251121,Not As Described
605,3781,20251121,Product Defect
606,3794,20251121,Wrong Item
607,3800,20251122,Customer Refused
608,3806,20251121,Leaking Bottle
609,3811,20251121,Wrong Item
610,3824,20251121,Product Defect
611,3828,20251121,Broken Seal
612,3830,20251121,Damaged
613,3833,20251121,Late Delivery
614,3841,20251121,Not As Described
615,3848,20251121,Product Defect
616,3855,20251121,Product Defect
617,3858,20251121,Damaged
618,3864,20251121,Wrong Item
619,3867,20251121,Damaged
620,3870,20251121,Damaged
621,3875,20251121,Customer Refused
622,3878,20251121,Leaking Bottle
623,3892,20251121,Wrong Item
624,3896,20251121,Not As Described
625,3913,20251121,Broken Seal
626,3914,20251121,Wrong Item
627,3918,20251121,Product Defect
628,3920,20251121,Late Delivery
629,3926,20251121,Leaking Bottle
630,3930,20251121,Customer Refused
631,3939,20251121,Damaged
632,3950,20251121,Damaged
633,3971,20251121,Damaged
634,3974,20251121,Product Defect
635,3978,20251121,Product Defect
636,3979,20251121,Not As Described
637,3988,20251121,Damaged
638,3991,20251121,Customer Refused
639,3993,20251121,Damaged
640,4024,20251122,Broken Seal
641,4039,20251121,Product Defect
642,4042,20251121,Broken Seal
643,4044,20251121,Product Defect
644,4048,20251121,Not As Described
645,4049,20251121,Wrong Item
646,4060,20251123,Wrong Item
647,4071,20251121,Wrong Item
648,4076,20251121,Product Defect
649,4088,20251121,Damaged
650,4092,20251121,Wrong Item
651,4099,20251121,Broken Seal
652,4104,20251121,Damaged
653,4108,20251121,Product Defect
654,4114,20251121,Product Defect
655,4119,20251121,Damaged
656,4120,20251121,Wrong Item
657,4132,20251121,Damaged
658,4134,20251121,Product Defect
659,4140,20251121,Product Defect
660,4153,20251123,Wrong Item
661,4163,20251121,Customer Refused
662,4165,20251122,Product Defect
663,4180,20251121,Wrong Item
664,4182,20251121,Damaged
665,4186,20251121,Product Defect
666,4187,20251121,Not As Described
667,4191,20251121,Product Defect
668,4195,20251121,Damaged
669,4203,20251121,Product Defect
670,4206,20251121,Product Defect
671,4215,20251121,Not As Described
672,4224,20251121,Product Defect
673,4226,20251122,Product Defect
674,4230,20251121,Wrong Item
675,4252,20251121,Customer Refused
676,4253,20251121,Damaged
677,4254,20251121,Leaking Bottle
678,4257,20251121,Wrong Item
679,4267,20251121,Damaged
680,4294,20251121,Customer Refused
681,4301,20251121,Product Defect
682,4307,20251121,Broken Seal
683,4327,20251121,Not As Described
684,4331,20251122,Not As Described
685,4343,20251121,Product Defect
686,4350,20251121,Damaged
687,4353,20251121,Damaged
688,4354,20251121,Damaged
689,4361,20251121,Product Defect
690,4367,20251123,Not As Described
691,4375,20251121,Damaged
692,4380,20251122,Customer Refused
693,4386,20251121,Customer Refused
694,4395,20251121,Wrong Item
695,4400,20251121,Broken Seal
696,4407,20251121,Late Delivery
697,4408,20251121,Not As Described
698,4410,20251121,Damaged
699,4412,20251121,Leaking Bottle
700,4416,20251121,Damaged
701,4421,20251121,Product Defect
702,4423,20251121,Product Defect
703,4429,20251121,Not As Described
704,4431,20251121,Customer Refused
705,4445,20251121,Customer Refused
706,4450,20251121,Wrong Item
707,4455,20251121,Wrong Item
708,4469,20251121,Product Defect
709,4470,20251121,Leaking Bottle
710,4472,20251121,Not As Described
711,4475,20251121,Late Delivery
712,4488,20251121,Leaking Bottle
713,4495,20251121,Late Delivery
714,4499,20251121,Damaged
715,4506,20251121,Leaking Bottle
716,4510,20251122,Product Defect
717,4514,20251121,Damaged
718,4518,20251121,Leaking Bottle
719,4525,20251121,Damaged
720,4535,20251121,Broken Seal
721,4545,20251121,Not As Described
722,4548,20251121,Late Delivery
723,4549,20251121,Customer Refused
724,4550,20251123,Damaged
725,4552,20251121,Leaking Bottle
726,4556,20251121,Product Defect
727,4557,20251121,Product Defect
728,4563,20251121,Product Defect
729,4567,20251122,Product Defect
730,4571,20251121,Damaged
731,4577,20251121,Product Defect
732,4585,20251121,Leaking Bottle
733,4586,20251122,Wrong Item
734,4590,20251121,Not As Described
735,4591,20251121,Product Defect
736,4593,20251121,Damaged
737,4598,20251121,Broken Seal
738,4601,20251122,Not As Described
739,4604,20251121,Customer Refused
740,4620,20251121,Wrong Item
741,4629,20251121,Product Defect
742,4630,20251121,Damaged
743,4631,20251121,Product Defect
744,4644,20251121,Broken Seal
745,4652,20251121,Damaged
746,4660,20251121,Damaged
747,4662,20251121,Product Defect
748,4666,20251121,Damaged
749,4670,20251122,Product Defect
750,4674,20251121,Late Delivery
751,4677,20251120,Damaged
752,4686,20251120,Wrong Item
753,4704,20251121,Broken Seal
754,4711,20251120,Not As Described
755,4721,20251120,Damaged
756,4739,20251120,Customer Refused
757,4747,20251120,Damaged
758,4748,20251120,Wrong Item
759,4759,20251120,Leaking Bottle
760,4762,20251122,Customer Refused
761,4768,20251120,Damaged
762,4770,20251121,Product Defect
763,4771,20251120,Damaged
764,4775,20251120,Not As Described
765,4784,20251120,Wrong Item
766,4791,20251120,Customer Refused
767,4797,20251121,Not As Described
768,4805,20251120,Wrong Item
769,4806,20251120,Not As Described
770,4807,20251120,Customer Refused
771,4808,20251120,Damaged
772,4809,20251120,Product Defect
773,4812,20251120,Leaking Bottle
774,4823,20251120,Damaged
775,4834,20251120,Late Delivery
776,4835,20251120,Late Delivery
777,4845,20251120,Leaking Bottle
778,4856,20251121,Not As Described
779,4863,20251120,Leaking Bottle
780,4865,20251122,Leaking Bottle
781,4870,20251120,Customer Refused
782,4873,20251121,Late Delivery
783,4874,20251120,Damaged
784,4878,20251120,Product Defect
785,4896,20251120,Wrong Item
786,4897,20251120,Late Delivery
787,4902,20251120,Wrong Item
788,4913,20251120,Not As Described
789,4923,20251120,Wrong Item
790,4935,20251120,Product Defect
791,4936,20251120,Customer Refused
792,4937,20251120,Wrong Item
793,4946,20251120,Wrong Item
794,4951,20251120,Leaking Bottle
795,4952,20251120,Product Defect
796,4964,20251120,Wrong Item
797,4967,20251120,Leaking Bottle
798,4968,20251120,Damaged
799,4973,20251120,Product Defect
800,4974,20251120,Leaking Bottle
801,4976,20251120,Product Defect
802,4980,20251120,Damaged
803,4983,20251120,Customer Refused
804,4986,20251121,Damaged
805,4989,20251121,Product Defect
806,4991,20251120,Wrong Item
807,5014,20251120,Broken Seal
808,5015,20251120,Wrong Item
809,5017,20251120,Damaged
810,5032,20251121,Damaged
811,5046,20251120,Leaking Bottle
812,5047,20251120,Damaged
813,5049,20251120,Product Defect
814,5054,20251120,Late Delivery
815,5055,20251120,Damaged
816,5059,20251120,Damaged
817,5063,20251120,Late Delivery
818,5065,20251120,Broken Seal
819,5088,20251120,Leaking Bottle
820,5092,20251120,Late Delivery
821,5095,20251120,Not As Described
822,5096,20251120,Product Defect
823,5105,20251120,Not As Described
824,5107,20251122,Wrong Item
825,5110,20251121,Damaged
826,5122,20251120,Wrong Item
827,5139,20251120,Broken Seal
828,5142,20251120,Wrong Item
829,5147,20251120,Damaged
830,5150,20251120,Broken Seal
831,5154,20251120,Wrong Item
832,5164,20251120,Not As Described
833,5165,20251120,Not As Described
834,5166,20251120,Not As Described
835,5168,20251120,Leaking Bottle
836,5175,20251120,Damaged
837,5180,20251120,Wrong Item
838,5184,20251120,Not As Described
839,5194,20251120,Damaged
840,5199,20251122,Product Defect
841,5204,20251120,Not As Described
842,5209,20251120,Wrong Item
843,5214,20251120,Leaking Bottle
