id_products,id_warehouse,stock,min_stock,id_dim_date_last_stocked,id_dim_date_last_updated
1,WH01,205,50,20250921,20250921
1,WH02,764,50,20250921,20250921
1,WH03,682,50,20250921,20250921
1,WH04,478,50,20250921,20250921
1,WH05,482,50,20250923,20250923
1,WH06,829,50,20250921,20250921
1,WH07,220,50,20250924,20250924
1,WH08,682,50,20251120,20251120
1,WH09,298,50,20250922,20250922
1,WH10,208,50,20251120,20251120
1,WH11,565,50,20251120,20251120
1,WH12,927,50,20251120,20251120
1,WH13,731,50,20250922,20250922
1,WH14,758,50,20251120,20251120
1,WH15,728,50,20251120,20251120
1,WH16,783,50,20250923,20250923
1,WH17,554,50,20250921,20250921
1,WH18,248,50,20251120,20251120
1,WH19,781,50,20250921,20250921
1,WH20,489,50,20250927,20250927
2,WH01,534,50,20251120,20251120
2,WH02,431,50,20251120,20251120
2,WH03,286,50,20251120,20251120
2,WH04,888,50,20251120,20251120
2,WH05,764,50,20250922,20250922
2,WH06,656,50,20250921,20250921
2,WH07,468,50,20250921,20250921
2,WH08,798,50,20250921,20250921
2,WH09,582,50,20250921,20250921
2,WH10,500,50,20251120,20251120
2,WH11,504,50,20251120,20251120
2,WH12,335,50,20251120,20251120
2,WH13,224,50,20250922,20250922
2,WH14,575,50,20251120,20251120
2,WH15,836,50,20251120,20251120
2,WH16,189,50,20251120,20251120
2,WH17,819,50,20250925,20250925
2,WH18,797,50,20251120,20251120
2,WH19,378,50,20250921,20250921
2,WH20,658,50,20251120,20251120
3,WH01,275,50,20250922,20250922
3,WH02,746,50,20251120,20251120
3,WH03,691,50,20251120,20251120
3,WH04,423,50,20251120,20251120
3,WH05,188,50,20250922,20250922
3,WH06,924,50,20250922,20250922
3,WH07,502,50,20251120,20251120
3,WH08,857,50,20251120,20251120
3,WH09,678,50,20250921,20250921
3,WH10,746,50,20250921,20250921
3,WH11,747,50,20250922,20250922
3,WH12,293,50,20250921,20250921
3,WH13,424,50,20250921,20250921
3,WH14,526,50,20250921,20250921
3,WH15,546,50,20250922,20250922
3,WH16,185,50,20251120,20251120
3,WH17,580,50,20250922,20250922
3,WH18,274,50,20251120,20251120
3,WH19,727,50,20251120,20251120
3,WH20,682,50,20251120,20251120
4,WH01,886,50,20250922,20250922
4,WH02,770,50,20251120,20251120
4,WH03,443,50,20251120,20251120
4,WH04,936,50,20251120,20251120
4,WH05,472,50,20251120,20251120
4,WH06,412,50,20250923,20250923
4,WH07,874,50,20250924,20250924
4,WH08,437,50,20250921,20250921
4,WH09,193,50,20250921,20250921
4,WH10,524,50,20251120,20251120
4,WH11,776,50,20250921,20250921
4,WH12,295,50,20250921,20250921
4,WH13,500,50,20250921,20250921
4,WH14,246,50,20250921,20250921
4,WH15,677,50,20251120,20251120
4,WH16,506,50,20250921,20250921
4,WH17,412,50,20250922,20250922
4,WH18,323,50,20250921,20250921
4,WH19,594,50,20251120,20251120
4,WH20,667,50,20250922,20250922
5,WH01,884,50,20250922,20250922
5,WH02,491,50,20251120,20251120
5,WH03,255,50,20251120,20251120
5,WH04,794,50,20250923,20250923
5,WH05,604,50,20251120,20251120
5,WH06,690,50,20251120,20251120
5,WH07,228,50,20250925,20250925
5,WH08,387,50,20251120,20251120
5,WH09,759,50,20250921,20250921
5,WH10,779,50,20250921,20250921
5,WH11,485,50,20250922,20250922
5,WH12,784,50,20251120,20251120
5,WH13,820,50,20250921,20250921
5,WH14,444,50,20251120,20251120
5,WH15,851,50,20251120,20251120
5,WH16,386,50,20251120,20251120
5,WH17,336,50,20251120,20251120
5,WH18,678,50,20251120,20251120
5,WH19,646,50,20251120,20251120
5,WH20,248,50,20251120,20251120
6,WH01,803,50,20250925,20250925
6,WH02,303,50,20250921,20250921
6,WH03,776,50,20250922,20250922
6,WH04,152,50,20250924,20250924
6,WH05,755,50,20251120,20251120
6,WH06,767,50,20250921,20250921
6,WH07,770,50,20251120,20251120
6,WH08,670,50,20251120,20251120
